[2026-07-24T16:00:52.500Z] GET http://localhost:3000/professionals/alleyne-ac → pending (?ms, ?B)
[2026-07-24T16:00:54.303Z] GET http://localhost:3000/_next/static/media/017d9bea37084d9b-s.p.41rroleoq1br7.woff2 → 200 (23ms, 41236B)
[2026-07-24T16:00:54.303Z] GET http://localhost:3000/_next/static/media/70bc3e132a0a741e-s.p.3t6q91iet4nsy.woff2 → 200 (23ms, 40480B)
[2026-07-24T16:00:54.303Z] GET http://localhost:3000/_next/static/media/c47649aa31f9e140-s.p.3lxpqujs87tck.woff2 → 200 (26ms, 34664B)
[2026-07-24T16:00:54.303Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__1alx9cd._.css → 200 (14ms, 112807B)
[2026-07-24T16:00:54.303Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1c05dl4._.js → 200 (112ms, ?B)
[2026-07-24T16:00:54.303Z] GET http://localhost:3000/_next/static/chunks/093g_next_dist_compiled_react-dom_0tqwgx_._.js → 200 (116ms, ?B)
[2026-07-24T16:00:54.303Z] GET http://localhost:3000/_next/static/chunks/093g_next_dist_compiled_next-devtools_index_0n5c3vp.js → 200 (116ms, ?B)
[2026-07-24T16:00:54.303Z] GET http://localhost:3000/_next/static/chunks/093g_next_dist_compiled_react-server-dom-turbopack_0hkxcnq._.js → 200 (114ms, ?B)
[2026-07-24T16:00:54.303Z] GET http://localhost:3000/_next/static/chunks/093g_next_dist_compiled_0jmj0i9._.js → 200 (114ms, ?B)
[2026-07-24T16:00:54.305Z] GET http://localhost:3000/_next/static/chunks/093g_next_dist_shared_lib_0mgk4wr._.js → 200 (112ms, ?B)
[2026-07-24T16:00:54.305Z] GET http://localhost:3000/_next/static/chunks/093g_next_dist_client_00zdfuj._.js → 200 (117ms, ?B)
[2026-07-24T16:00:54.305Z] GET http://localhost:3000/_next/static/chunks/093g_next_dist_0p-gtpw._.js → 200 (114ms, ?B)
[2026-07-24T16:00:54.305Z] GET http://localhost:3000/_next/static/chunks/093g_next_router_0jdwzlz.js → 200 (112ms, ?B)
[2026-07-24T16:00:54.305Z] GET http://localhost:3000/_next/static/chunks/093g_posthog-js_dist_module_0_i34dt.js → 200 (114ms, ?B)
[2026-07-24T16:00:54.305Z] GET http://localhost:3000/_next/static/chunks/093g_%40sentry_core_build_esm_1pnuaj5._.js → 200 (114ms, ?B)
[2026-07-24T16:00:54.305Z] GET http://localhost:3000/_next/static/chunks/093g_%40sentry_conventions_dist_attributes_mjs_0j0ufne._.js → 200 (117ms, ?B)
[2026-07-24T16:00:54.305Z] GET http://localhost:3000/_next/static/chunks/093g_%40sentry_browser_build_npm_esm_dev_1779_6a._.js → 200 (118ms, ?B)
[2026-07-24T16:00:54.305Z] GET http://localhost:3000/_next/static/chunks/093g_%40sentry_browser-utils_build_esm_1rsyhbn._.js → 200 (118ms, ?B)
[2026-07-24T16:00:54.305Z] GET http://localhost:3000/_next/static/chunks/093g_1j1vlvg._.js → 200 (117ms, ?B)
[2026-07-24T16:00:54.305Z] GET http://localhost:3000/_next/static/chunks/Dev_Tradelynq_Tradelynq-V2_instrumentation-client_ts_0h8wagc._.js → 200 (117ms, ?B)
[2026-07-24T16:00:54.305Z] GET http://localhost:3000/_next/static/chunks/Dev_Tradelynq_Tradelynq-V2_1anvha4._.js → 200 (117ms, ?B)
[2026-07-24T16:00:54.305Z] GET http://localhost:3000/_next/static/chunks/turbopack-Dev_Tradelynq_Tradelynq-V2_1-ozf8z._.js → 200 (118ms, ?B)
